 Date ,Open ,High ,Low ,Close ,Change (Pips) ,Change (%)
"Sep 19, 2014 17:00 ",1219.84 ,1221.34 ,1214.27 ,1217.29 ,-25.5 ,-0.21%
"Sep 19, 2014 16:00 ",1224.64 ,1224.74 ,1218.92 ,1219.89 ,-47.5 ,-0.39%
"Sep 19, 2014 15:00 ",1222.74 ,1225.67 ,1221.07 ,1224.64 ,+19.0 ,+0.16%
"Sep 19, 2014 14:00 ",1221.99 ,1223.39 ,1221.55 ,1222.7 ,+7.1 ,+0.06%
"Sep 19, 2014 13:00 ",1222.84 ,1222.89 ,1220.84 ,1222 ,-8.4 ,-0.07%
"Sep 19, 2014 12:00 ",1222.79 ,1223.35 ,1221.79 ,1222.89 ,+1.0 ,+0.01%
"Sep 19, 2014 11:00 ",1222.4 ,1223.26 ,1220.28 ,1222.81 ,+4.1 ,+0.03%
"Sep 19, 2014 10:00 ",1220.86 ,1223.59 ,1220.64 ,1222.47 ,+16.1 ,+0.13%
"Sep 19, 2014 09:00 ",1223.64 ,1224.99 ,1220.68 ,1220.93 ,-27.1 ,-0.22%
"Sep 19, 2014 08:00 ",1221.41 ,1226.79 ,1218.79 ,1223.6 ,+21.9 ,+0.18%
"Sep 19, 2014 07:00 ",1228.08 ,1228.22 ,1221.09 ,1221.41 ,-66.7 ,-0.55%
"Sep 19, 2014 06:00 ",1223.19 ,1228.56 ,1223.19 ,1228.12 ,+49.3 ,+0.40%
"Sep 19, 2014 05:00 ",1222.04 ,1223.58 ,1220.99 ,1223.09 ,+10.5 ,+0.09%
"Sep 19, 2014 04:00 ",1224.12 ,1224.66 ,1218.24 ,1222.09 ,-20.3 ,-0.17%
"Sep 19, 2014 03:00 ",1224.87 ,1225.08 ,1223.38 ,1224.06 ,-8.1 ,-0.07%
"Sep 19, 2014 02:00 ",1225.84 ,1225.84 ,1224.77 ,1224.84 ,-10.0 ,-0.08%
"Sep 19, 2014 01:00 ",1224.84 ,1226.57 ,1224.84 ,1225.84 ,+10.0 ,+0.08%
